"year","month","gu","price","kind"
"2011","03",은평구,428.2,"1"
"2011","03",서대문구,465.3,"1"
"2011","03",마포구,620.0,"1"
"2011","03",양천구,558.6,"1"
"2011","03",강서구,475.4,"1"
"2011","03",구로구,441.3,"1"
"2011","03",금천구,374.3,"1"
"2011","03",영등포구,561.5,"1"
"2011","03",동작구,571.5,"1"
"2011","03",관악구,483.2,"1"
"2011","03",서초구,856.3,"1"
"2011","03",강남구,1055.1,"1"
"2011","03",송파구,796.9,"1"
"2011","03",강동구,557.5,"1"
"2011","04",종로구,577.4,"1"
"2011","04",중구,555.5,"1"
"2011","04",용산구,811.6,"1"
"2011","04",성동구,580.5,"1"
"2011","04",광진구,672.1,"1"
"2011","04",동대문구,467.9,"1"
"2011","04",중랑구,432.7,"1"
"2011","04",성북구,472.5,"1"
"2011","04",강북구,416.2,"1"
"2011","04",도봉구,390.7,"1"
"2011","04",노원구,441.0,"1"
"2011","04",은평구,418.0,"1"
"2011","04",서대문구,454.9,"1"
"2011","04",마포구,625.6,"1"
"2011","04",양천구,606.8,"1"
"2011","04",강서구,463.5,"1"
"2011","04",구로구,448.5,"1"
"2011","04",금천구,377.3,"1"
"2011","04",영등포구,537.9,"1"
"2011","04",동작구,569.6,"1"
"2011","04",관악구,482.0,"1"
"2011","04",서초구,885.8,"1"
"2011","04",강남구,1055.4,"1"
"2011","04",송파구,822.1,"1"
"2011","04",강동구,580.9,"1"
"2011","05",종로구,558.6,"1"
"2011","05",중구,578.6,"1"
"2011","05",용산구,761.9,"1"
"2011","05",성동구,584.0,"1"
"2011","05",광진구,632.6,"1"
"2011","05",동대문구,475.2,"1"
"2011","05",중랑구,418.5,"1"
"2011","05",성북구,470.8,"1"
"2011","05",강북구,392.3,"1"
"2011","05",도봉구,394.3,"1"
"2011","05",노원구,436.3,"1"
"2011","05",은평구,416.6,"1"
"2011","05",서대문구,464.0,"1"
"2011","05",마포구,637.6,"1"
"2011","05",양천구,580.2,"1"
"2011","05",강서구,479.6,"1"
"2011","05",구로구,449.1,"1"
"2011","05",금천구,366.5,"1"
"2011","05",영등포구,557.0,"1"
"2011","05",동작구,571.6,"1"
"2011","05",관악구,473.0,"1"
"2011","05",서초구,860.4,"1"
"2011","05",강남구,1025.1,"1"
"2011","05",송파구,823.7,"1"
"2011","05",강동구,602.2,"1"
"2011","06",종로구,507.2,"1"
"2011","06",중구,564.6,"1"
"2011","06",용산구,820.8,"1"
"2011","06",성동구,575.9,"1"
"2011","06",광진구,645.1,"1"
"2011","06",동대문구,451.4,"1"
"2011","06",중랑구,426.7,"1"
"2011","06",성북구,458.1,"1"
"2011","06",강북구,408.3,"1"
"2011","06",도봉구,390.3,"1"
"2011","06",노원구,429.3,"1"
"2011","06",은평구,403.6,"1"
"2011","06",서대문구,425.9,"1"
"2011","06",마포구,605.2,"1"
"2011","06",양천구,598.0,"1"
"2011","06",강서구,473.4,"1"
"2011","06",구로구,435.0,"1"
"2011","06",금천구,357.8,"1"
"2011","06",영등포구,542.9,"1"
"2011","06",동작구,565.1,"1"
"2011","06",관악구,482.3,"1"
"2011","06",서초구,895.9,"1"
"2011","06",강남구,1037.3,"1"
"2011","06",송파구,807.8,"1"
"2011","06",강동구,598.4,"1"
"2011","07",종로구,596.1,"1"
"2011","07",중구,624.2,"1"
"2011","07",용산구,744.9,"1"
"2011","07",성동구,591.9,"1"
"2011","07",광진구,654.1,"1"
"2011","07",동대문구,457.3,"1"
"2011","07",중랑구,417.7,"1"
"2011","07",성북구,468.4,"1"
"2011","07",강북구,406.4,"1"
"2011","07",도봉구,383.3,"1"
"2011","07",노원구,429.2,"1"
"2011","07",은평구,433.4,"1"
"2011","07",서대문구,460.9,"1"
"2011","07",마포구,653.9,"1"
"2011","07",양천구,646.1,"1"
"2011","07",강서구,483.7,"1"
"2011","07",구로구,427.6,"1"
"2011","07",금천구,372.9,"1"
"2011","07",영등포구,557.3,"1"
"2011","07",동작구,556.0,"1"
"2011","07",관악구,495.6,"1"
"2011","07",서초구,954.7,"1"
"2011","07",강남구,1145.2,"1"
"2011","07",송파구,849.8,"1"
"2011","07",강동구,638.1,"1"
"2011","08",종로구,626.0,"1"
"2011","08",중구,591.2,"1"
"2011","08",용산구,754.4,"1"
"2011","08",성동구,603.1,"1"
"2011","08",광진구,624.1,"1"
"2011","08",동대문구,449.7,"1"
"2011","08",중랑구,417.9,"1"
"2011","08",성북구,466.0,"1"
"2011","08",강북구,409.2,"1"
"2011","08",도봉구,388.8,"1"
"2011","08",노원구,435.7,"1"
"2011","08",은평구,450.6,"1"
"2011","08",서대문구,488.4,"1"
"2011","08",마포구,630.2,"1"
"2011","08",양천구,558.8,"1"
"2011","08",강서구,474.2,"1"
"2011","08",구로구,426.1,"1"
"2011","08",금천구,366.6,"1"
"2011","08",영등포구,554.2,"1"
"2011","08",동작구,564.9,"1"
"2011","08",관악구,473.0,"1"
"2011","08",서초구,903.3,"1"
"2011","08",강남구,1031.2,"1"
"2011","08",송파구,848.3,"1"
"2011","08",강동구,583.5,"1"
"2011","09",종로구,628.3,"1"
"2011","09",중구,576.5,"1"
"2011","09",용산구,795.1,"1"
"2011","09",성동구,568.5,"1"
"2011","09",광진구,650.3,"1"
"2011","09",동대문구,471.8,"1"
"2011","09",중랑구,421.5,"1"
"2011","09",성북구,471.8,"1"
"2011","09",강북구,402.7,"1"
"2011","09",도봉구,388.4,"1"
"2011","09",노원구,432.0,"1"
"2011","09",은평구,451.0,"1"
"2011","09",서대문구,471.9,"1"
"2011","09",마포구,613.5,"1"
"2011","09",양천구,539.0,"1"
"2011","09",강서구,470.6,"1"
"2011","09",구로구,419.4,"1"
"2011","09",금천구,371.9,"1"
"2011","09",영등포구,545.2,"1"
"2011","09",동작구,562.3,"1"
"2011","09",관악구,463.6,"1"
"2011","09",서초구,924.0,"1"
"2011","09",강남구,1095.1,"1"
"2011","09",송파구,817.6,"1"
"2011","09",강동구,602.7,"1"
"2012","01",종로구,548.3,"1"
"2012","01",중구,585.8,"1"
"2012","01",용산구,770.5,"1"
"2012","01",성동구,603.2,"1"
"2012","01",광진구,631.6,"1"
"2012","01",동대문구,450.8,"1"
"2012","01",중랑구,440.3,"1"
"2012","01",성북구,462.2,"1"
"2012","01",강북구,416.0,"1"
"2012","01",도봉구,385.2,"1"
"2012","01",노원구,424.3,"1"
"2012","01",은평구,440.3,"1"
"2012","01",서대문구,457.9,"1"
"2012","01",마포구,603.2,"1"
"2012","01",양천구,577.8,"1"
"2012","01",강서구,466.3,"1"
"2012","01",구로구,435.3,"1"
"2012","01",금천구,380.4,"1"
"2012","01",영등포구,527.7,"1"
"2012","01",동작구,567.7,"1"
"2012","01",관악구,473.5,"1"
"2012","01",서초구,883.2,"1"
"2012","01",강남구,1045.2,"1"
