"년","구이름","동이름","평균거래금액","평균전용면적","평당가격","구분"
"2010",영등포구,여의도동,103781,122.0,878,"1"
"2010",강남구,역삼동,58223,69.0,819,"1"
"2010",은평구,역촌동,30953,85.0,360,"1"
"2010",마포구,연남동,40867,84.0,504,"1"
"2010",서대문구,연희동,40169,88.0,445,"1"
"2010",마포구,염리동,47689,76.0,608,"1"
"2010",강서구,염창동,38016,77.0,491,"1"
"2010",영등포구,영등포동,40666,74.0,550,"1"
"2010",영등포구,영등포동1가,36000,85.0,424,"1"
"2010",영등포구,영등포동5가,22640,63.0,359,"1"
"2010",영등포구,영등포동7가,38594,78.0,498,"1"
"2010",영등포구,영등포동8가,53922,91.0,593,"1"
"2010",서대문구,영천동,44444,88.0,505,"1"
"2010",중구,예장동,32500,88.0,379,"1"
"2010",송파구,오금동,53668,87.0,618,"1"
"2010",구로구,오류동,29757,75.0,400,"1"
"2010",성동구,옥수동,55843,88.0,635,"1"
"2010",구로구,온수동,43245,101.0,439,"1"
"2010",마포구,용강동,53548,76.0,708,"1"
"2010",성동구,용답동,30933,68.0,460,"1"
"2010",동대문구,용두동,33363,68.0,496,"1"
"2010",용산구,용문동,41000,84.0,486,"1"
"2010",용산구,용산동2가,47100,78.0,601,"1"
"2010",용산구,용산동5가,152550,117.0,1275,"1"
"2010",서초구,우면동,56953,70.0,810,"1"
"2010",강북구,우이동,32213,88.0,377,"1"
"2010",용산구,원효로1가,61170,114.0,547,"1"
